userId,movieId,tag,timestamp
1,1,classic,1439472355
1,2,sci-fi,1439472256
1,3,dark comedy,1573943598
1,4,great dialogue,1573943604
1,5,so bad it's good,1573943455
1,6,unreliable narrators,1573943619
1,7,tense,1573943077
1,8,artificial intelligence,1573942979
1,9,philosophical,1573943033
1,10,tense,1573943042
1,11,so bad it's good,1573942965
1,12,cliche,1573943721
1,13,musical,1573943714
1,14,horror,1573945163
1,15,unpredictable,1573945171
1,16,Oscar (Best Supporting Actress),1446909853
1,17,adventure,1445286141
1,18,anime,1445286127
1,19,ecology,1445286153
1,20,fantasy,1445286144
1,21,Hayao Miyazaki,1445286120
1,22,Miyazaki,1445286148
1,23,post-apocalyptic,1445286136
1,24,bah,1155082282
1,25,Clint Eastwood,1170492549
1,26,music,1472113217
1,27,art,1549387440
1,28,contemporary art,1549387437
1,29,documentary,1549387432
1,30,aliens,1542308477
1,31,amazing photography,1542308501
1,32,Director: James Cameron,1542308487
1,33,first contact,1542308468
1,34,James Cameron,1542308492
1,35,Michael Biehn,1542308483
1,36,sci-fi,1542308464
1,37,android(s)/cyborg(s),1542309549
1,38,apocalypse,1542309703
1,39,Arnold Schwarzenegger,1542309595
1,40,artificial intelligence,1542309599
1,41,franchise,1542309536
1,42,terminator,1542309735
1,43,time travel,1542309532
1,44,James Cameron,1542308389
1,45,sci-fi,1542308408
1,46,science fiction,1542308395
1,47,sci-fi,1522675497
1,48,inferior sequel,1522677007
1,49,setting:London (UK) (future),1522677058
1,50,unoriginal,1522677043
1,51,bad science,1522676752
1,52,good science,1522676693
1,53,Hans Zimmer,1522676679
1,54,philosophical issues,1522676687
1,55,sci-fi,1522676660
1,56,science fiction,1522676703
1,57,space,1522676664
1,58,space travel,1522676685
1,59,time-travel,1522676667
1,60,visually appealing,1522676682
1,61,bittersweet,1415131183
1,62,boring,1415914643
1,63,conversation,1415131159
1,64,dialogue driven,1415131169
1,65,loneliness,1415131180
1,66,love story,1415131196
1,67,philosophical,1415131228
1,68,philosophy,1415131215
1,69,quirky,1415914797
1,70,reflective,1415131174
2,71,romantic,1415131173
2,72,thought-provoking,1415131203
2,73,Vienna,1415914755
2,74,wistful,1415914789
2,75,American Civil War,1414248567
2,76,based on book,1414248543
2,77,bittersweet,1414248546
2,78,culture clash,1414248582
2,79,drama,1414248538
2,80,indians,1414248604
2,81,love story,1414248535
2,82,war,1414248586
2,83,western,1414248596
2,84,Buddhism,1389309614
2,85,China,1389309619
2,86,great cinematography,1389309592
2,87,JOURNEY OF SELF-DISCOVERY,1389309596
2,88,mountains,1389309610
2,89,traveling,1389309607
2,90,atmospheric,1414932665
2,92,based on a book,1414932650
2,93,Canada,1414932654
2,94,death,1414932717
2,95,Incest,1414932657
2,96,meditative,1414932635
2,97,melancholic,1414932660
2,98,Nudity (Full Frontal),1414932679
2,99,small town,1414932683
2,100,wintry,1414932700
2,101,aging,1414703813
2,102,based on a play,1414703896
2,103,boring,1414703922
2,104,Drama,1414703854
2,105,friendship,1414703861
2,106,Morgan Freeman,1414703875
2,107,no action,1414703922
2,108,old age,1414703857
2,109,racism,1414703880
2,110,Southern theme,1414703882
2,111,USA,1414703885
2,112,bittersweet,1404508243
2,113,emotional,1404508252
2,114,heartwarming,1405162775
2,115,Holocaust,1389309722
2,116,Italy,1389309737
2,117,love,1389309735
2,118,Oscar (Best Foreign Language Film),1404508261
2,119,Oscar Winner,1404508239
2,120,sentimental,1389309725
2,121,survival,1404508257
2,122,adventure,1406474907
2,123,fantasy,1406474916
2,124,music,1406474905
2,125,Natalie Portman,1406474902
2,126,robots,1406474862
2,127,sci-fi,1406474865
2,128,space,1406474897
2,129,Star Wars,1406474879
2,130,abortion,1414335320
2,131,based on a book,1414335090
2,132,charlize theron,1414335302
2,133,Drama,1414335121
2,134,Incest,1414335124
2,135,medicine,1414335340
2,136,orphans,1414335312
2,137,Tobey Maguire,1414335104
2,138,based on a book,1399117141
2,139,break-up,1399117159
2,140,Catherine Zeta-Jones,1399117136
2,141,funny,1399117119
2,142,relationships,1399117124
2,143,island,1400957839
2,144,SURVIVAL,1400957850
2,145,boring,1406059373
2,146,dogs,1405874817
2,147,drama,1405874824
2,148,multiple storylines,1405874854
2,149,action,1406474940
